Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-10-2022 11:25:13,MUMBAI,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,4,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not so important,Not so important,Not so important,Not so important,Not so important
11-10-2022 11:25:38,Mumbai ,Male,18-24,Undergraduate degree,Yoga & breathing exercises,Lack of motivation / time,Once/twice a week (e.g. weekends),15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,3,Find it too difficult to follow a routine,I am not interested to try,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all
11-10-2022 11:38:22,Mumbai,Male,18-24,College diploma / Certificate,Yoga & breathing exercises,"Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - with equipment,3,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Important,Important,Important,Important
11-10-2022 11:42:13,Mumbai ,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,2,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Important,Important,Important,Important
11-10-2022 11:49:55,Bombay,Female,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Weight loss/gain,Home - without equipment,1,5,"Temptation for junk food, Find it too difficult to follow a routine",I have already tried,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Rs. 1000-2500,Annual subscription with price discount benefits,Very Important,Very Important,Not important at all,Important,Neutral
11-10-2022 13:19:38,Mumbai,Female,18-24,College diploma / Certificate,Meditation/Mindfulness practice,"Can't afford to spend on gym/classes subscription, Lack of motivation / time",Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,3,4,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Important,Important,Important
11-10-2022 13:26:36,Bangalore,Female,35-44,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Very Important,Very Important,Very Important
11-10-2022 13:31:39,Bhandup ,Male,18-24,High school,Yoga & breathing exercises,"Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,5,5,"Temptation for junk food, Can't cook at home",I may try only if I find something very interesting,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 1000-2500,Annual subscription with price discount benefits,Important,Very Important,Important,Important,Important
11-10-2022 13:33:33,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,3,3,"Temptation for junk food, Find it too difficult to follow a routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Neutral,Important,Important
11-10-2022 14:03:43,mumbai,Female,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,15-30,Weight loss/gain,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Important,Very Important,Very Important
11-10-2022 14:05:54,mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,Body building,Home - without equipment,5,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Annual subscription with price discount benefits,Important,Important,Very Important,Important,Neutral
11-10-2022 14:07:21,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,46-60,Body building,Home - without equipment,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 2500-5000,Annual subscription with price discount benefits,Important,Important,Important,Very Important,Important
11-10-2022 14:09:27,Kolhapur,Female,35-44,Masters / Post-Graduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,31-45,Weight loss/gain,Gym / Studio,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Neutral,Very Important,Very Important
11-10-2022 14:11:14,Kolhapur,Female,35-44,Masters / Post-Graduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,46-60,Body building,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Very Important,Important,Important
11-10-2022 14:13:05,Nagala Park,Female,45-54,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",4 to 5 days a week,31-45,Weight loss/gain,Home - without equipment,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Very Important,Very Important,Important
11-10-2022 16:00:44,Mumbai ,Female,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,"Want a personal trainer but can't afford, Lack of motivation / time",Daily,More than 60,Weight loss/gain,Hybrid - Gym and at Home,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Not so important,Very Important,Very Important
11-10-2022 16:40:07,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,More than 60,Body building,Gym / Studio,1,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not important at all,Very Important,Very Important,Very Important,Very Important
11-10-2022 16:44:47,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, I follow a regular wellness/fitness routine",Daily,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Very Important,Neutral,Important,Important
11-10-2022 17:49:35,Thane,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,Daily,More than 60,Weight loss/gain,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Very Important,Very Important,Important
11-10-2022 20:50:47,Bangalore,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, I follow a regular wellness/fitness routine",4 to 5 days a week,46-60,Weight loss/gain,Gym / Studio,4,2,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Neutral,Very Important,Very Important
11-10-2022 22:35:14,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,Daily,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,3,5,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Important,Important,Not so important
11-10-2022 23:04:37,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Lack of motivation / time,4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Neutral,Very Important,Important
11-10-2022 23:26:50,Mumbai,Male,18-24,College diploma / Certificate,Meditation/Mindfulness practice,Lack of motivation / time,Once/twice a week (e.g. weekends),Less than 15,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Neutral,Not important at all,Important
11-10-2022 23:31:07,New Delhi ,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Parks,2,5,Temptation for junk food,I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Not important at all,Not important at all,Important,Not important at all
11-10-2022 23:31:27,Kolhapur,Female,35-44,Masters / Post-Graduate degree,Yoga & breathing exercises,"Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Very Important,Very Important,Very Important,Very Important
11-10-2022 23:32:11,Kolhapur ,Female,25-34,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Very Important,Important
11-10-2022 23:32:53,Kolhapur,Female,35-44,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Stress/anxiety reduction and/or attain mindfulness,Hybrid - Gym and at Home,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Important,Important,Very Important,Important
11-10-2022 23:33:31,Kolhapur ,Female,25-34,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Neutral,Not so important,Not so important,Neutral,Very Important
11-10-2022 23:34:17,Kolhapur,Male,35-44,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Very Important,Important
11-10-2022 23:35:48,Kolhapur,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,15-30,Body building,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,,Not so important,Important,Very Important,Very Important,Very Important
11-10-2022 23:36:30,Kolhapur,Female,25-34,Undergraduate degree,Meditation/Mindfulness practice,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Very Important,Very Important,Very Important
11-10-2022 23:37:21,Kolhapur,Female,18-24,College diploma / Certificate,Yoga & breathing exercises,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",4 to 5 days a week,31-45,Body building,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not so important,Not so important,Important,Important,Important
11-10-2022 23:38:04,Kolhapye,Male,35-44,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Occasionally / Rarely,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Very Important,Important
11-10-2022 23:38:53,Kolhapur,Female,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription",Daily,46-60,General fitness/strength/flexibility/stamina,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I am interested to try out,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Very Important,Important,Important
11-10-2022 23:40:53,Kolhapur,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription",Daily,15-30,Body building,Home - with equipment,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Not so important,Very Important,Very Important,Important
11-10-2022 23:41:58,Kolhapur,Female,45-54,High school,Meditation/Mindfulness practice,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Very Important,Important,Important,Very Important
11-10-2022 23:42:49,Kolhapur,Female,45-54,Masters / Post-Graduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Very Important,Important,Important
11-10-2022 23:45:31,Kolhapur,Male,More than 55,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby",Once/twice a week (e.g. weekends),46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,3,"Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Important,Important,Very Important,Important
11-10-2022 23:47:02,Kolhapur,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,3,"Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Very Important,Important,Very Important,Important
11-10-2022 23:47:52,Kolhapur,Male,45-54,Undergraduate degree,I don't follow any wellness/fitness routine,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,Body building,Home - without equipment,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Important,Important,Not important at all,Important
11-10-2022 23:48:47,Kolhapur,Female,35-44,College diploma / Certificate,I don't follow any wellness/fitness routine,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",Occasionally / Rarely,More than 60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Very Important,Not so important,Important
11-10-2022 23:50:23,Kolhapur,Female,Less than 18,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Home - without equipment,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I have already tried,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Neutral,Important
